Time,Latitude,Longitude,PM10,PM25,Humidity,Temperature
00.00. 00:00:00.00,69.648597,19.001533,21.8,6.9,90.5,2
00.00. 00:00:00.00,69.648597,19.001502,21.4,6.9,90.5,2
00.00. 00:00:00.00,69.648597,19.001468,21.1,6.8,90.1,1.9
00.00. 00:00:00.00,69.64859,19.001436,20.8,6.7,90.1,1.9
00.00. 00:00:00.00,69.64859,19.001399,20.5,6.6,90.1,1.9
00.00. 00:00:00.00,69.64859,19.001369,20.3,6.5,89.6,1.8
00.00. 00:00:00.00,69.64859,19.001337,20,6.4,89.6,1.8
00.00. 00:00:00.00,69.64859,19.001298,19.7,6.3,89.6,1.8
00.00. 00:00:00.00,69.64859,19.001264,19,6.1,89.7,1.8
00.00. 00:00:00.00,69.64859,19.001234,18.2,5.8,89.7,1.8
00.00. 00:00:00.00,69.64859,19.001201,17.4,5.6,89.7,1.8
00.00. 00:00:00.00,69.64859,19.001163,16.7,5.4,89.5,1.7
00.00. 00:00:00.00,69.648582,19.001125,15.9,5.1,89.5,1.7
00.00. 00:00:00.00,69.648582,19.00105,14.7,4.7,90,1.7
00.00. 00:00:00.00,69.648574,19.001016,14.4,4.6,90,1.7
00.00. 00:00:00.00,69.648574,19.000944,13.6,4.2,90,1.6
00.00. 00:00:00.00,69.648574,19.000905,13.2,4,90,1.6
00.00. 00:00:00.00,69.648567,19.000825,12.8,3.8,89.8,1.6
00.00. 00:00:00.00,69.648567,19.00078,12.8,3.7,89.8,1.6
00.00. 00:00:00.00,69.648559,19.000698,12.2,3.4,90.1,1.5
00.00. 00:00:00.00,69.648559,19.000652,11.4,3.1,90.1,1.5
00.00. 00:00:00.00,69.648559,19.000555,9.9,2.5,90,1.5
00.00. 00:00:00.00,69.648551,19.000465,8.5,1.9,89.2,1.4
00.00. 00:00:00.00,69.648551,19.000423,7.9,1.7,89.2,1.4
00.00. 00:00:00.00,69.648544,19.000341,6.8,1.3,89.4,1.4
00.00. 00:00:00.00,69.648544,19.000301,6.8,1.3,89.4,1.4
00.00. 00:00:00.00,69.647682,18.986022,4.8,1.7,99.9,1.3
00.00. 00:00:00.00,69.647682,18.986022,4.5,1.6,99.9,1.3
00.00. 00:00:00.00,69.647697,18.986022,4.5,1.6,99.9,1.3
00.00. 00:00:00.00,69.647697,18.986026,4.5,1.6,99.9,1.3
00.00. 00:00:00.00,69.647689,18.986021,4.4,1.6,99.9,1.3
00.00. 00:00:00.00,69.647689,18.986026,4.5,1.5,99.9,1.3
00.00. 00:00:00.00,69.647689,18.986026,4.4,1.5,99.9,1.3
00.00. 00:00:00.00,69.647689,18.986026,4.4,1.5,99.9,1.3
00.00. 00:00:00.00,69.648529,19.000209,6.7,1.2,89.6,1.3
00.00. 00:00:00.00,69.648529,19.000169,6.6,1.2,89.6,1.3
00.00. 00:00:00.00,69.648521,19.000089,6.6,1.2,89.9,1.3
00.00. 00:00:00.00,69.648521,19.000051,6.6,1.2,89.9,1.3
00.00. 00:00:00.00,69.647689,18.985996,21.5,6.1,99.9,1.2
00.00. 00:00:00.00,69.647689,18.985998,21.5,6.1,99.9,1.2
00.00. 00:00:00.00,69.647689,18.985998,21.4,6.1,99.9,1.2
00.00. 00:00:00.00,69.647689,18.985996,21.6,6,99.9,1.2
