Time,Lat,Lon,Temp,Humi,PM10,PM25
19.4.2018 6:14:42.0,69.686347,19.080345,21.00,27.60,5.10,2.20
19.4.2018 6:14:45.0,69.686271,19.079841,21.00,27.80,5.00,2.20
19.4.2018 6:14:48.0,69.686279,19.079118,21.00,28.00,5.00,2.20
19.4.2018 6:14:51.0,69.686218,19.078491,21.00,28.10,4.90,2.10
19.4.2018 6:14:54.0,69.686126,19.077865,21.00,28.40,4.80,2.00
19.4.2018 6:14:57.0,69.685997,19.076984,21.00,28.60,4.80,2.00
19.4.2018 6:15:0.0,69.685829,19.075948,21.00,28.80,5.00,2.00
19.4.2018 6:15:3.0,69.685668,19.074943,21.00,29.00,5.00,2.00
19.4.2018 6:15:6.0,69.685531,19.074045,21.00,29.20,4.90,2.00
19.4.2018 6:15:9.0,69.685417,19.073261,21.00,29.60,5.20,2.00
19.4.2018 6:15:12.0,69.685279,19.072504,21.00,30.00,5.70,2.10
19.4.2018 6:15:15.0,69.685096,19.071743,21.00,30.00,5.80,2.10
19.4.2018 6:15:18.0,69.684875,19.071123,20.90,30.00,5.80,2.10
19.4.2018 6:15:21.0,69.684638,19.070665,20.90,30.20,5.40,2.00
19.4.2018 6:15:24.0,69.684394,19.070373,21.00,30.60,4.20,2.00
19.4.2018 6:15:27.0,69.684143,19.070171,21.00,30.90,3.50,2.10
19.4.2018 6:15:30.0,69.683914,19.070058,21.00,31.20,3.40,2.10
19.4.2018 6:15:33.0,69.683753,19.069892,21.00,31.30,3.10,2.00
19.4.2018 6:15:36.0,69.683677,19.069734,21.00,31.50,2.60,2.00
19.4.2018 6:15:39.0,69.683639,19.069637,21.00,31.70,2.60,2.00
19.4.2018 6:15:42.0,69.683555,19.069471,21.00,31.80,2.60,2.00
19.4.2018 6:15:45.0,69.683486,19.069316,21.00,31.90,2.70,2.00
19.4.2018 6:15:48.0,69.683509,19.069202,21.00,32.20,2.90,2.10
19.4.2018 6:15:51.0,69.683547,19.069234,21.00,32.40,2.90,2.10
19.4.2018 6:15:54.0,69.683555,19.069246,21.00,32.50,2.90,2.10
19.4.2018 6:15:57.0,69.683555,19.069242,21.00,32.60,2.90,2.10
19.4.2018 6:16:0.0,69.683555,19.069242,21.00,32.70,2.90,2.10
19.4.2018 6:16:3.0,69.683563,19.069244,21.10,32.80,2.90,2.20
19.4.2018 6:16:6.0,69.683563,19.069234,21.10,32.80,3.00,2.20
19.4.2018 6:16:9.0,69.683593,19.069286,21.10,32.70,2.80,2.30
19.4.2018 6:16:12.0,69.683708,19.069234,21.10,32.80,2.50,2.20
19.4.2018 6:16:15.0,69.683799,19.068904,21.10,32.80,2.50,2.20
19.4.2018 6:16:18.0,69.683776,19.068479,21.10,32.80,2.50,2.30
19.4.2018 6:16:21.0,69.683601,19.068119,21.10,33.20,2.50,2.30
19.4.2018 6:16:24.0,69.683334,19.067636,21.10,33.20,2.50,2.30
19.4.2018 6:16:27.0,69.683021,19.067003,21.10,33.20,2.50,2.30
19.4.2018 6:16:30.0,69.682685,19.066225,21.10,33.30,2.70,2.40
19.4.2018 6:16:33.0,69.682334,19.065364,21.10,33.20,2.70,2.40
19.4.2018 6:16:36.0,69.681983,19.064481,21.10,33.10,2.60,2.30
19.4.2018 6:16:39.0,69.681671,19.063606,21.10,33.20,2.50,2.30
19.4.2018 6:16:42.0,69.681365,19.062707,21.10,33.20,2.60,2.40
19.4.2018 6:16:45.0,69.681068,19.061786,21.10,33.00,2.80,2.40
19.4.2018 6:16:48.0,69.680786,19.060844,21.20,33.20,2.70,2.40
19.4.2018 6:16:51.0,69.680534,19.060037,21.20,33.20,2.70,2.30
19.4.2018 6:16:54.0,69.680328,19.059354,21.20,33.40,2.70,2.30
19.4.2018 6:16:57.0,69.680213,19.058740,21.20,33.60,2.60,2.30
19.4.2018 6:17:0.0,69.680107,19.058185,21.20,33.50,2.50,2.30
19.4.2018 6:17:3.0,69.679878,19.057832,21.20,33.50,2.40,2.20
19.4.2018 6:17:6.0,69.679634,19.057205,21.20,33.70,2.30,2.10
19.4.2018 6:17:9.0,69.679359,19.056400,21.20,33.50,2.30,2.10
19.4.2018 6:17:12.0,69.679046,19.055503,21.20,33.50,2.30,2.10
19.4.2018 6:17:15.0,69.678718,19.054565,21.20,33.60,2.20,2.00
19.4.2018 6:17:18.0,69.678390,19.053628,21.30,33.60,2.20,2.00
