Time,Lat,Lon,Temp,Humi,PM10,PM25
10.4.2018 10:35:39.0,69.676322,19.048395,19.80,27.70,5.90,1.30
10.4.2018 10:35:42.0,69.676361,19.048473,15.00,29.90,6.00,1.30
10.4.2018 10:35:45.0,69.676383,19.048536,14.80,29.90,6.10,1.30
10.4.2018 10:35:48.0,69.676391,19.048620,14.70,29.90,5.80,1.30
10.4.2018 10:35:51.0,69.676383,19.048706,14.70,30.00,5.80,1.30
10.4.2018 10:35:54.0,69.676406,19.048864,14.60,30.10,5.90,1.30
10.4.2018 10:35:57.0,69.676429,19.048994,14.60,30.40,5.90,1.40
10.4.2018 10:36:0.0,69.676422,19.049095,14.50,30.30,4.40,1.20
10.4.2018 10:36:3.0,69.676445,19.049173,14.40,30.30,1.50,1.00
10.4.2018 10:36:6.0,69.676490,19.049247,14.40,30.50,1.50,1.10
10.4.2018 10:36:9.0,69.676544,19.049379,14.30,30.60,1.50,1.00
10.4.2018 10:36:12.0,69.676582,19.049495,14.20,30.60,1.60,1.10
10.4.2018 10:36:15.0,69.676620,19.049585,14.10,30.60,1.90,1.20
10.4.2018 10:36:18.0,69.676666,19.049642,14.00,30.60,1.90,1.20
10.4.2018 10:36:21.0,69.676689,19.049671,14.00,30.80,1.90,1.20
10.4.2018 10:36:24.0,69.676719,19.049663,13.90,30.80,1.90,1.20
10.4.2018 10:36:27.0,69.676765,19.049703,13.80,30.80,2.00,1.20
10.4.2018 10:36:30.0,69.676811,19.049757,13.80,30.80,2.00,1.20
10.4.2018 10:36:33.0,69.676849,19.049825,13.80,30.90,1.90,1.20
10.4.2018 10:36:36.0,69.676879,19.049915,13.70,30.90,2.30,1.20
10.4.2018 10:36:49.0,69.676994,19.050317,13.70,30.90,2.70,1.10
10.4.2018 10:36:52.0,69.677009,19.050374,13.20,31.50,2.60,1.10
10.4.2018 10:36:55.0,69.677040,19.050424,13.20,31.50,2.60,1.00
10.4.2018 10:36:58.0,69.677062,19.050495,13.20,31.50,2.60,1.00
10.4.2018 10:37:1.0,69.677093,19.050605,13.10,31.40,2.60,1.00
10.4.2018 10:37:4.0,69.677124,19.050716,13.10,31.50,2.60,1.00
10.4.2018 10:37:7.0,69.677207,19.050872,13.00,31.40,2.60,1.00
10.4.2018 10:37:10.0,69.677223,19.050891,12.90,31.40,2.70,1.10
