New AIR:BIT Logging started
Time,Lat,Lon,Temp,Humi,PM10,PM25
Time,Lat,Lon,Temp,Humi,PM10,PM25
5.4.2018 10:52:30.0,69.648796,19.006084,11.00,22.20,51.40,1.90
5.4.2018 10:52:33.0,69.648788,19.006095,11.00,22.20,50.00,1.90
5.4.2018 10:52:36.0,69.648788,19.006011,11.00,22.20,53.20,2.10
5.4.2018 10:52:39.0,69.648750,19.005781,10.90,22.10,55.30,2.20
5.4.2018 10:52:42.0,69.648712,19.005584,10.90,22.20,63.80,2.50
5.4.2018 10:52:45.0,69.648727,19.005498,10.90,22.20,68.20,2.80
5.4.2018 10:52:48.0,69.648727,19.005294,10.90,22.20,72.40,2.90
5.4.2018 10:52:51.0,69.648727,19.005203,10.90,22.20,74.40,2.90
5.4.2018 10:52:54.0,69.648719,19.005153,10.90,22.20,74.40,2.90
5.4.2018 10:52:57.0,69.648727,19.005128,10.90,22.20,74.40,2.90
5.4.2018 10:53:0.0,69.648742,19.005121,10.90,22.10,74.40,3.00
5.4.2018 10:53:3.0,69.648727,19.005079,10.90,22.10,74.40,3.00
5.4.2018 10:53:6.0,69.648735,19.004993,10.90,22.30,59.50,2.70
5.4.2018 10:53:9.0,69.648727,19.004907,10.90,22.40,51.70,2.50
5.4.2018 10:53:12.0,69.648735,19.004806,10.90,22.50,51.60,2.40
5.4.2018 10:53:15.0,69.648704,19.004682,10.90,22.80,51.20,2.40
5.4.2018 10:53:18.0,69.648712,19.004585,10.90,22.70,45.60,2.30
5.4.2018 10:53:21.0,69.648712,19.004497,10.80,22.60,41.80,2.20
5.4.2018 10:53:24.0,69.648704,19.004390,10.90,22.70,31.60,1.90
5.4.2018 10:53:27.0,69.648704,19.004287,10.90,22.60,26.80,1.70
5.4.2018 10:53:30.0,69.648696,19.004203,10.90,22.60,26.80,1.70
5.4.2018 10:53:33.0,69.648689,19.004114,10.80,22.60,26.00,1.70
5.4.2018 10:53:36.0,69.648681,19.004024,10.80,22.70,21.80,1.60
5.4.2018 10:53:39.0,69.648674,19.003931,10.70,22.90,19.70,1.40
5.4.2018 10:53:42.0,69.648674,19.003831,10.60,23.00,11.10,1.10
5.4.2018 10:53:45.0,69.648681,19.003730,10.60,23.00,6.80,0.90
5.4.2018 10:53:48.0,69.648681,19.003635,10.60,23.10,2.60,0.80
5.4.2018 10:53:51.0,69.648681,19.003557,10.60,23.10,0.80,0.80
5.4.2018 10:53:54.0,69.648681,19.003490,10.60,23.10,0.80,0.80
5.4.2018 10:53:57.0,69.648681,19.003433,10.60,23.10,0.80,0.80
5.4.2018 10:54:0.0,69.648674,19.003370,10.50,23.00,0.80,0.80
5.4.2018 10:54:3.0,69.648674,19.003282,10.40,22.90,0.80,0.80
5.4.2018 10:54:6.0,69.648666,19.003179,10.30,22.90,0.80,0.80
5.4.2018 10:54:9.0,69.648658,19.003095,10.20,22.80,0.80,0.80
5.4.2018 10:54:12.0,69.648658,19.003011,10.20,22.80,0.80,0.80
5.4.2018 10:54:15.0,69.648651,19.002933,10.20,22.80,0.80,0.80
5.4.2018 10:54:18.0,69.648643,19.002828,10.20,22.80,0.80,0.80
5.4.2018 10:54:21.0,69.648635,19.002729,10.20,22.80,0.80,0.80
5.4.2018 10:54:24.0,69.648628,19.002628,10.10,22.70,0.80,0.80
5.4.2018 10:54:27.0,69.648628,19.002538,10.10,22.80,0.80,0.80
5.4.2018 10:54:30.0,69.648620,19.002445,10.10,22.90,0.80,0.80
5.4.2018 10:54:33.0,69.648612,19.002384,10.00,23.00,1.00,0.90
5.4.2018 10:54:36.0,69.648605,19.002220,10.00,23.10,1.00,0.90
5.4.2018 10:54:39.0,69.648597,19.002088,10.00,23.10,1.00,0.90
5.4.2018 10:54:42.0,69.648597,19.002006,10.00,23.20,1.00,0.80
5.4.2018 10:54:45.0,69.648597,19.001863,10.00,23.10,1.00,0.90
5.4.2018 10:54:48.0,69.648582,19.001705,9.90,23.80,1.00,0.90
5.4.2018 10:54:51.0,69.648574,19.001619,10.00,23.20,1.00,0.90
5.4.2018 10:54:54.0,69.648582,19.001581,9.80,24.00,1.00,0.80
5.4.2018 10:54:57.0,69.648574,19.001462,9.80,24.10,0.90,0.80
