Line,Time,Stime,Lat,Lon,PM10,Temp,Humi
5, 8.3.2018,15:7:4.0,69,685745,19,070234,7.5,10.8,3.7
6, 8.3.2018,15:7:7.0,69,685775,19,070255,7.4,10.7,3.7
7, 8.3.2018,15:7:10.0,69,685813,19,070274,7.2,10.6,3.7
8, 8.3.2018,15:7:13.0,69,685844,19,070276,7.1,10.6,3.8
9, 8.3.2018,15:7:16.0,69,685882,19,070245,6.8,10.5,3.8
10, 8.3.2018,15:7:19.0,69,68592,19,070209,6.9,10.4,3.8
11, 8.3.2018,15:7:22.0,69,685958,19,070169,7,10.4,4.
12, 8.3.2018,15:7:25.0,69,686004,19,070127,6.9,10.3,4
13, 8.3.2018,15:7:28.0,69,686035,19,07007,8,10.2,3.9
14, 8.3.2018,15:7:31.0,69,68608,19,070022,10.1,10.1,4
15, 8.3.2018,15:7:34.0,69,686111,19,06995,10.3,10.1,4.1
16, 8.3.2018,15:7:37.0,69,686149,19,069898,10.4,10,4.1
17, 8.3.2018,15:7:40.0,69,68618,19,069889,10.4,9.9,4.8
18, 8.3.2018,15:7:43.0,69,686225,19,069816,10.1,9.8,4.9
19, 8.3.2018,15:7:46.0,69,686225,19,069816,8.2,9.8,5
20, 8.3.2018,15:7:50.0,69,686225,19,069816,7.7,9.5,5.1
21, 8.3.2018,15:7:54.0,69,686225,19,069816,7.7,9.4,5.3
22, 8.3.2018,15:7:58.0,69,686225,19,069816,7.8,9.2,5.4
23, 8.3.2018,15:8:2.0,69,686195,19,070474,7.8,9,5.4
24, 8.3.2018,15:8:5.0,69,686286,19,070516,7.9,8.9,5.5
25, 8.3.2018,15:8:8.0,69,686386,19,070507,7.9,8.8,5.6
26, 8.3.2018,15:8:11.0,69,686424,19,070562,8,8.6,5.7
27, 8.3.2018,15:8:14.0,69,68647,19,070617,8.2,8.5,5.7
28, 8.3.2018,15:8:17.0,69,686531,19,070669,8.2,8.4,5.8
29, 8.3.2018,15:8:20.0,69,686607,19,07076,9,8.3,5.9
30, 8.3.2018,15:8:23.0,69,686622,19,070806,9.6,8.2,5.9
31, 8.3.2018,15:8:26.0,69,686607,19,070835,9.8,8,6
32, 8.3.2018,15:8:29.0,69,686569,19,070867,8,7.9,6.1
33, 8.3.2018,15:8:32.0,69,686454,19,070804,7,7.7,6.1
34, 8.3.2018,15:8:35.0,69,686447,19,070959,7,7.7,6.2
35, 8.3.2018,15:8:38.0,69,686454,19,070993,7.1,7.6,6.1
36, 8.3.2018,15:8:41.0,69,686447,19,070985,6.9,7.6,7.3
37, 8.3.2018,15:8:45.0,69,686454,19,070972,6.5,7.6,8.5
